domain,target_version,target_column,class,samples,percent
Etiology,Dominant organism,dominant_microorganism,Escherichia coli,2382,37.0
Etiology,Dominant organism,dominant_microorganism,Klebsiella pneumoniae,922,14.3
Etiology,Dominant organism,dominant_microorganism,Staphylococcus aureus,831,12.9
Etiology,Dominant organism,dominant_microorganism,Pseudomonas aeruginosa,626,9.7
Etiology,Dominant organism,dominant_microorganism,Enterobacter cloacae,190,3.0
Etiology,Dominant organism,dominant_microorganism,Proteus mirabilis,170,2.6
Etiology,Dominant organism,dominant_microorganism,Klebsiella pneumoniae ssp pneumoniae,157,2.4
Etiology,Dominant organism,dominant_microorganism,Serratia marcescens,128,2.0
Etiology,Dominant organism,dominant_microorganism,Staphylococcus aureus ssp aureus,122,1.9
Etiology,Dominant organism,dominant_microorganism,Klebsiella aerogenes,121,1.9
Etiology,Dominant organism,dominant_microorganism,Klebsiella oxytoca,120,1.9
Etiology,Dominant organism,dominant_microorganism,Enterobacter cloacae complex,82,1.3
Etiology,Dominant organism,dominant_microorganism,Escherichia coli BLEE,62,1.0
Etiology,Dominant organism,dominant_microorganism,Morganella morganii,51,0.8
Etiology,Dominant organism,dominant_microorganism,Stenotrophomonas maltophilia,46,0.7
Etiology,Dominant organism,dominant_microorganism,Acinetobacter baumannii,43,0.7
Etiology,Dominant organism,dominant_microorganism,Enterobacter cloacae ssp cloacae,39,0.6
Etiology,Dominant organism,dominant_microorganism,Klebsiella pneumoniae BLEE,34,0.5
Etiology,Dominant organism,dominant_microorganism,Citrobacter koseri,33,0.5
Etiology,Dominant organism,dominant_microorganism,Citrobacter freundii,32,0.5
Etiology,Dominant organism,dominant_microorganism,Raoultella ornithinolytica,23,0.4
Etiology,Dominant organism,dominant_microorganism,Staphylococcus aureus MR,19,0.3
Etiology,Dominant organism,dominant_microorganism,Serratia marcescens ssp marcescens,19,0.3
Etiology,Dominant organism,dominant_microorganism,Klebsiella variicola,17,0.3
Etiology,Dominant organism,dominant_microorganism,Salmonella enterica,17,0.3
Etiology,Dominant organism,dominant_microorganism,Pantoea agglomerans,16,0.2
Etiology,Dominant organism,dominant_microorganism,Enterobacter kobei,16,0.2
Etiology,Dominant organism,dominant_microorganism,Pseudomonas aeruginosa MR,15,0.2
Etiology,Dominant organism,dominant_microorganism,Acinetobacter lwoffii,9,0.1
Etiology,Dominant organism,dominant_microorganism,Morganella morganii ssp morganii,7,0.1
Etiology,Dominant organism,dominant_microorganism,Acinetobacter ursingii,6,0.1
Etiology,Dominant organism,dominant_microorganism,Acinetobacter pittii,6,0.1
Etiology,Dominant organism,dominant_microorganism,NEGATIVE,6,0.1
Etiology,Dominant organism,dominant_microorganism,Enterobacter asburiae,5,0.1
Etiology,Dominant organism,dominant_microorganism,Pantoea calida,5,0.1
Etiology,Dominant organism,dominant_microorganism,Citrobacter braakii,5,0.1
Etiology,Dominant organism,dominant_microorganism,Pseudomonas putida,4,0.1
