model,target_column,class,raw_value,samples,percent
Sepsis,sepsis,0,0,4465,69.3
Sepsis,sepsis,1,1,1975,30.7
Mortality 30 days,mortalidad_30_dias,0.0,0.0,3754,78.1
Mortality 30 days,mortalidad_30_dias,1.0,1.0,1051,21.9
Resistance mechanism,resistance_mechanism_target,BLEE,BLEE,578,9.0
Resistance mechanism,resistance_mechanism_target,CARB,CARB,10,0.2
Resistance mechanism,resistance_mechanism_target,CARBAPENEMASE,CARBAPENEMASE,39,0.6
Resistance mechanism,resistance_mechanism_target,MR,MR,129,2.0
Resistance mechanism,resistance_mechanism_target,MRSA,MRSA,35,0.5
Resistance mechanism,resistance_mechanism_target,NEGATIVE,NEGATIVE,5649,87.7
Cephalosporin resistance,resistente_cefalosporina,NEGATIVE,NEGATIVE,5321,82.6
Cephalosporin resistance,resistente_cefalosporina,RESIST_CEFALOSPORINAS_3a_4a,RESIST_CEFALOSPORINAS_3a_4a,1119,17.4
