source_column,repo_column,normalized_name,match_type,normalized_differences,examples
estado_mental_alterado,estado_mental_alterado,estado_mental_alterado,same name,3913,person_id=1: source='1.0'; repo='1' | person_id=2: source='0.0'; repo='0'
hipotension,hipotension,hipotension,same name,3913,person_id=1: source='1.0'; repo='1' | person_id=2: source='0.0'; repo='0'
hipoxemia,hipoxemia,hipoxemia,same name,3913,person_id=1: source='0.0'; repo='0' | person_id=2: source='0.0'; repo='0'
lactato_serico,lactato_serico,lactato_serico,same name,3913,person_id=1: source='0.0'; repo='0' | person_id=2: source='1.0'; repo='1'
qsofa,qsofa,qsofa,same name,3913,person_id=1: source='2.0'; repo='2' | person_id=2: source='0.0'; repo='0'
sepsis,sepsis,sepsis,same name,3913,person_id=1: source='1.0'; repo='1' | person_id=2: source='0.0'; repo='0'
shock_septico,shock_septico,shock_septico,same name,3913,person_id=1: source='0.0'; repo='0' | person_id=2: source='0.0'; repo='0'
taquicardia,taquicardia,taquicardia,same name,3913,person_id=1: source='1.0'; repo='1' | person_id=2: source='0.0'; repo='0'
taquipnea,taquipnea,taquipnea,same name,3913,person_id=1: source='0.0'; repo='0' | person_id=2: source='0.0'; repo='0'
antib_previo_total_veces,antib_previo_total_veces,antib_previo_total_veces,same name,1387,person_id=2: source='2.0'; repo='1.0' | person_id=3: source='7.0'; repo='4.0'
ultimo_antib,ultimo_antib,ultimo_antib,same name,137,person_id=4: source='Quinolonas'; repo='Lincosamidas' | person_id=31: source='Lipopéptidos'; repo='Carbapenemas'
resultado_hemo_grouped,resultado_hemo_grouped,resultado_hemo_grouped,same name,39,person_id=2: source='NEGATIVE'; repo='Coco gram+' | person_id=188: source='NEGATIVE'; repo='Coco gram+'
Penicilinas,antib_previo_Penicilinas_counts,antib_previo_penicilinas_counts,explicit rename,29,person_id=464: source='1.0'; repo='0.0' | person_id=504: source='1.0'; repo='0.0'
Penicilinas_binary,antib_previo_Penicilinas_binary,antib_previo_penicilinas_binary,explicit rename,24,person_id=464: source='1.0'; repo='0.0' | person_id=504: source='1.0'; repo='0.0'
Sulfonamidas_binary,antib_previo_Sulfonamidas_binary,antib_previo_sulfonamidas_binary,explicit rename,15,person_id=961: source='1.0'; repo='0.0' | person_id=2253: source='1.0'; repo='0.0'
Sulfonamidas,antib_previo_Sulfonamidas_counts,antib_previo_sulfonamidas_counts,explicit rename,15,person_id=961: source='1.0'; repo='0.0' | person_id=2253: source='1.0'; repo='0.0'
Cefalosporinas 3 gen,antib_previo_Cefalosporinas_3_gen_counts,antib_previo_cefalosporinas_3_gen_counts,explicit rename,13,person_id=439: source='1.0'; repo='0.0' | person_id=572: source='1.0'; repo='0.0'
Carbapenemas,antib_previo_Carbapenemas_counts,antib_previo_carbapenemas_counts,explicit rename,11,person_id=482: source='1.0'; repo='0.0' | person_id=610: source='1.0'; repo='0.0'
Cefalosporinas 3 gen_binary,antib_previo_Cefalosporinas_3_gen_binary,antib_previo_cefalosporinas_3_gen_binary,explicit rename,11,person_id=439: source='1.0'; repo='0.0' | person_id=572: source='1.0'; repo='0.0'
Quinolonas,antib_previo_Quinolonas_counts,antib_previo_quinolonas_counts,explicit rename,11,person_id=951: source='2.0'; repo='0.0' | person_id=1288: source='1.0'; repo='0.0'
Quinolonas_binary,antib_previo_Quinolonas_binary,antib_previo_quinolonas_binary,explicit rename,9,person_id=951: source='1.0'; repo='0.0' | person_id=1288: source='1.0'; repo='0.0'
Carbapenemas_binary,antib_previo_Carbapenemas_binary,antib_previo_carbapenemas_binary,explicit rename,8,person_id=482: source='1.0'; repo='0.0' | person_id=610: source='1.0'; repo='0.0'
Cefalosporinas 2 gen_binary,antib_previo_Cefalosporinas_2_gen_binary,antib_previo_cefalosporinas_2_gen_binary,explicit rename,4,person_id=2165: source='1.0'; repo='0.0' | person_id=2272: source='1.0'; repo='0.0'
Cefalosporinas 2 gen,antib_previo_Cefalosporinas_2_gen_counts,antib_previo_cefalosporinas_2_gen_counts,explicit rename,4,person_id=2165: source='1.0'; repo='0.0' | person_id=2272: source='1.0'; repo='0.0'
Glicopéptidos_binary,antib_previo_Glicopéptidos_binary,antib_previo_glicopeptidos_binary,normalized name,3,person_id=610: source='1.0'; repo='0.0' | person_id=1921: source='1.0'; repo='0.0'
Glicopéptidos,antib_previo_Glicopéptidos_counts,antib_previo_glicopeptidos_counts,normalized name,3,person_id=610: source='1.0'; repo='0.0' | person_id=1921: source='1.0'; repo='0.0'
Macrólidos_binary,antib_previo_Macrolidos_binary,antib_previo_macrolidos_binary,explicit rename,3,person_id=849: source='1.0'; repo='0.0' | person_id=1995: source='1.0'; repo='0.0'
Macrólidos,antib_previo_Macrolidos_counts,antib_previo_macrolidos_counts,explicit rename,3,person_id=849: source='1.0'; repo='0.0' | person_id=1995: source='1.0'; repo='0.0'
Fosfomicina_binary,antib_previo_Fosfomicina_binary,antib_previo_fosfomicina_binary,explicit rename,2,person_id=1914: source='1.0'; repo='0.0' | person_id=3362: source='1.0'; repo='0.0'
Fosfomicina,antib_previo_Fosfomicina_counts,antib_previo_fosfomicina_counts,explicit rename,2,person_id=1914: source='1.0'; repo='0.0' | person_id=3362: source='1.0'; repo='0.0'
Lincosamidas,antib_previo_Lincosamidas_counts,antib_previo_lincosamidas_counts,explicit rename,2,person_id=510: source='1.0'; repo='0.0' | person_id=3790: source='2.0'; repo='1.0'
Nitrofurantoína_binary,antib_previo_Nitrofurantoina_binary,antib_previo_nitrofurantoina_binary,explicit rename,2,person_id=1218: source='1.0'; repo='0.0' | person_id=1760: source='1.0'; repo='0.0'
Nitrofurantoína,antib_previo_Nitrofurantoina_counts,antib_previo_nitrofurantoina_counts,explicit rename,2,person_id=1218: source='1.0'; repo='0.0' | person_id=1760: source='1.0'; repo='0.0'
Azoles_binary,antib_previo_Azoles_binary,antib_previo_azoles_binary,explicit rename,1,person_id=2392: source='1.0'; repo='0.0'
Azoles,antib_previo_Azoles_counts,antib_previo_azoles_counts,explicit rename,1,person_id=2392: source='1.0'; repo='0.0'
Cefalosporinas 1 gen_binary,antib_previo_Cefalosporinas_1_gen_binary,antib_previo_cefalosporinas_1_gen_binary,explicit rename,1,person_id=2300: source='1.0'; repo='0.0'
Cefalosporinas 1 gen,antib_previo_Cefalosporinas_1_gen_counts,antib_previo_cefalosporinas_1_gen_counts,explicit rename,1,person_id=2300: source='1.0'; repo='0.0'
Lincosamidas_binary,antib_previo_Lincosamidas_binary,antib_previo_lincosamidas_binary,explicit rename,1,person_id=510: source='1.0'; repo='0.0'
Lipopéptidos_binary,antib_previo_Lipopeptidos_binary,antib_previo_lipopeptidos_binary,explicit rename,1,person_id=2642: source='1.0'; repo='0.0'
Lipopéptidos,antib_previo_Lipopeptidos_counts,antib_previo_lipopeptidos_counts,explicit rename,1,person_id=2642: source='1.0'; repo='0.0'
