table_name,created,recoded,transformed,dropped,warnings,notes
_pipeline_run,0,0,0,0,0,9
tbl_paciente,2,3,0,0,0,0
tbl_comorbilidad,2,0,86,2,0,0
tbl_factores_riesgo_bmr,0,0,0,0,0,1
tbl_sintomas,16,1,0,18,0,0
tbl_signos,5,5,5,0,0,0
tbl_sepsis,1,2,9,0,0,0
tbl_infecciones_previas,34,1,34,5,0,0
tbl_tratamiento_antibiotico_previo,48,3,50,4,0,2
tbl_hemocultivo_de_urgencias,34,1,3,4,1,1
tbl_colonizaciones_previas,33,1,33,4,0,0
tbl_otros_cultivos_en_urgencias,33,1,12,6,0,1
merged_dataset,0,0,0,0,0,11
cross_table_features,47,0,0,0,0,2
target_building,6,2,0,0,0,1
filtered_dataset,0,0,0,237,0,5
